Date,Open,High,Low,Close,Adj Close,Volume
2025-08-01,179.00,181.00,178.00,180.50,180.50,50000000
2025-08-04,180.70,182.10,179.80,181.00,181.00,42000000
2025-08-05,181.20,183.00,180.50,182.75,182.75,38000000
2025-08-06,183.00,184.50,182.00,183.50,183.50,41000000
2025-08-07,183.60,185.00,183.00,184.80,184.80,39000000
2025-08-08,185.00,186.50,184.00,185.90,185.90,40000000
2025-08-11,186.00,187.20,185.50,186.75,186.75,37000000
2025-08-12,186.80,188.00,186.00,187.90,187.90,36000000
2025-08-13,188.00,189.50,187.50,188.60,188.60,35000000
2025-08-14,189.00,190.00,188.20,189.50,189.50,34000000
